Size,Time_NlogN,Time_N
1000,0.000000,0.000000
2000,0.000000,0.000000
3000,0.000000,0.000000
4000,0.000000,0.000000
5000,0.000000,0.000000
6000,0.000000,0.000000
7000,0.001000,0.000000
8000,0.000000,0.000000
9000,0.000000,0.000000
10000,0.000000,0.000000
20000,0.000000,0.001000
30000,0.001000,0.001000
40000,0.001000,0.001000
50000,0.001000,0.001000
60000,0.002000,0.001000
70000,0.002000,0.001000
80000,0.001000,0.002000
90000,0.003000,0.001000
100000,0.003000,0.001000
200000,0.005000,0.003000
300000,0.007000,0.005000
400000,0.010000,0.007000
500000,0.012000,0.008000
600000,0.014000,0.010000
700000,0.017000,0.012000
800000,0.019000,0.015000
900000,0.021000,0.016000
1000000,0.024000,0.016000
2000000,0.047000,0.035000
3000000,0.070000,0.052000
4000000,0.091000,0.069000
5000000,0.115000,0.090000
6000000,0.136000,0.105000
7000000,0.160000,0.122000
8000000,0.192000,0.143000
9000000,0.206000,0.166000
10000000,0.228000,0.183000
20000000,0.463000,0.357000
30000000,0.698000,0.568000
40000000,0.985000,0.759000
50000000,1.145000,0.886000
60000000,1.369000,1.061000
70000000,1.588000,1.241000
80000000,1.837000,1.423000
90000000,2.035000,1.607000
100000000,2.271000,1.772000
